date,code,borough,value
1995-01-01,E09000001,City of London,91448.98487
1995-02-01,E09000001,City of London,82202.77314
1995-03-01,E09000001,City of London,79120.70256
1995-04-01,E09000001,City of London,77101.20804
1995-05-01,E09000001,City of London,84409.14932
1995-06-01,E09000001,City of London,94900.51244
1995-07-01,E09000001,City of London,110128.0423
1995-08-01,E09000001,City of London,112329.4376
1995-09-01,E09000001,City of London,104473.1096
1995-10-01,E09000001,City of London,108038.1181
1995-11-01,E09000001,City of London,117635.614
1995-12-01,E09000001,City of London,127232.4459
1996-01-01,E09000001,City of London,108998.6449
1996-02-01,E09000001,City of London,93356.69814
1996-03-01,E09000001,City of London,93706.70087
1996-04-01,E09000001,City of London,120542.7871
1996-05-01,E09000001,City of London,112050.079
1996-06-01,E09000001,City of London,114226.1868
1996-07-01,E09000001,City of London,97546.65538
1996-08-01,E09000001,City of London,114178.9615
1996-09-01,E09000001,City of London,108138.3441
1996-10-01,E09000001,City of London,98934.21106
1996-11-01,E09000001,City of London,99706.77553
1996-12-01,E09000001,City of London,106426.6463
1997-01-01,E09000001,City of London,116343.2632
1997-02-01,E09000001,City of London,111142.2413
1997-03-01,E09000001,City of London,107487.7721
1997-04-01,E09000001,City of London,108480.1265
1997-05-01,E09000001,City of London,115453.1138
1997-06-01,E09000001,City of London,118316.6328
1997-07-01,E09000001,City of London,117033.8026
1997-08-01,E09000001,City of London,113584.7062
1997-09-01,E09000001,City of London,115159.3603
1997-10-01,E09000001,City of London,121251.0481
1997-11-01,E09000001,City of London,131074.4707
1997-12-01,E09000001,City of London,130034.7709
1998-01-01,E09000001,City of London,124381.6148
1998-02-01,E09000001,City of London,143828.6637
1998-03-01,E09000001,City of London,156508.2157
1998-04-01,E09000001,City of London,163402.8902
1998-05-01,E09000001,City of London,143625.206
1998-06-01,E09000001,City of London,132250.9156
1998-07-01,E09000001,City of London,140377.131
1998-08-01,E09000001,City of London,148993.1355
1998-09-01,E09000001,City of London,152806.8225
1998-10-01,E09000001,City of London,162019.7074
1998-11-01,E09000001,City of London,152387.1579
1998-12-01,E09000001,City of London,155801.2742
1999-01-01,E09000001,City of London,149142.8994
1999-02-01,E09000001,City of London,164544.6832
1999-03-01,E09000001,City of London,174586.171
1999-04-01,E09000001,City of London,191157.4832
1999-05-01,E09000001,City of London,191080.7478
1999-06-01,E09000001,City of London,185993.3245
1999-07-01,E09000001,City of London,164056.0744
1999-08-01,E09000001,City of London,160904.9707
1999-09-01,E09000001,City of London,166192.6431
1999-10-01,E09000001,City of London,163490.4727
1999-11-01,E09000001,City of London,175142.6311
1999-12-01,E09000001,City of London,169308.6414
2000-01-01,E09000001,City of London,173738.4667
2000-02-01,E09000001,City of London,174151.8041
2000-03-01,E09000001,City of London,178338.5158
2000-04-01,E09000001,City of London,183100.9126
2000-05-01,E09000001,City of London,175040.6662
2000-06-01,E09000001,City of London,198191.0327
2000-07-01,E09000001,City of London,214852.4149
2000-08-01,E09000001,City of London,221951.7129
2000-09-01,E09000001,City of London,223175.1674
2000-10-01,E09000001,City of London,245062.2886
2000-11-01,E09000001,City of London,321773.1354
2000-12-01,E09000001,City of London,314772.1892
2001-01-01,E09000001,City of London,284262.1358
