date,code,borough,value
1995-01-01,E09000001,City of London,11.66937425
1995-02-01,E09000001,City of London,10.48950872
1995-03-01,E09000001,City of London,10.09622021
1995-04-01,E09000001,City of London,9.838522023
1995-05-01,E09000001,City of London,10.77105399
1995-06-01,E09000001,City of London,12.10980743
1995-07-01,E09000001,City of London,14.05292079
1995-08-01,E09000001,City of London,14.33383048
1995-09-01,E09000001,City of London,13.33132147
1995-10-01,E09000001,City of London,13.78623541
1995-11-01,E09000001,City of London,15.01092665
1995-12-01,E09000001,City of London,16.23553318
1996-01-01,E09000001,City of London,13.90880371
1996-02-01,E09000001,City of London,11.91280855
1996-03-01,E09000001,City of London,11.95747075
1996-04-01,E09000001,City of London,15.38189733
1996-05-01,E09000001,City of London,14.29818284
1996-06-01,E09000001,City of London,14.57586571
1996-07-01,E09000001,City of London,12.44746926
1996-08-01,E09000001,City of London,14.56983951
1996-09-01,E09000001,City of London,13.79902478
1996-10-01,E09000001,City of London,12.62452871
1996-11-01,E09000001,City of London,12.72311202
1996-12-01,E09000001,City of London,13.58060308
1997-01-01,E09000001,City of London,14.84601585
1997-02-01,E09000001,City of London,14.18233795
1997-03-01,E09000001,City of London,13.71600834
1997-04-01,E09000001,City of London,13.84263802
1997-05-01,E09000001,City of London,14.73242809
1997-06-01,E09000001,City of London,15.09782826
1997-07-01,E09000001,City of London,14.93413234
1997-08-01,E09000001,City of London,14.49400939
1997-09-01,E09000001,City of London,14.69494359
1997-10-01,E09000001,City of London,15.47227518
1997-11-01,E09000001,City of London,16.72579586
1997-12-01,E09000001,City of London,16.59312467
1998-01-01,E09000001,City of London,15.87175205
1998-02-01,E09000001,City of London,18.35329836
1998-03-01,E09000001,City of London,19.97127627
1998-04-01,E09000001,City of London,20.85107322
1998-05-01,E09000001,City of London,18.32733609
1998-06-01,E09000001,City of London,16.87591645
1998-07-01,E09000001,City of London,17.91286453
1998-08-01,E09000001,City of London,19.01231228
1998-09-01,E09000001,City of London,19.49895892
1998-10-01,E09000001,City of London,20.67457178
1998-11-01,E09000001,City of London,19.4454075
1998-12-01,E09000001,City of London,19.8810668
1999-01-01,E09000001,City of London,19.03142295
1999-02-01,E09000001,City of London,20.99677204
1999-03-01,E09000001,City of London,22.27811901
1999-04-01,E09000001,City of London,24.39270611
1999-05-01,E09000001,City of London,24.38291426
1999-06-01,E09000001,City of London,23.73373214
1999-07-01,E09000001,City of London,20.93442298
1999-08-01,E09000001,City of London,20.53232548
1999-09-01,E09000001,City of London,21.20706044
1999-10-01,E09000001,City of London,20.86224921
1999-11-01,E09000001,City of London,22.34912626
1999-12-01,E09000001,City of London,21.60467831
2000-01-01,E09000001,City of London,22.16994745
2000-02-01,E09000001,City of London,22.22269149
2000-03-01,E09000001,City of London,22.75693805
2000-04-01,E09000001,City of London,23.36464509
2000-05-01,E09000001,City of London,22.336115
2000-06-01,E09000001,City of London,25.29022423
2000-07-01,E09000001,City of London,27.41630475
2000-08-01,E09000001,City of London,28.32221272
2000-09-01,E09000001,City of London,28.47833199
2000-10-01,E09000001,City of London,31.27124444
2000-11-01,E09000001,City of London,41.0599543
2000-12-01,E09000001,City of London,40.16659653
2001-01-01,E09000001,City of London,36.27335232
2001-02-01,E09000001,City of London,25.28333163
2001-03-01,E09000001,City of London,24.12161438
2001-04-01,E09000001,City of London,26.22213376
2001-05-01,E09000001,City of London,28.51452862
2001-06-01,E09000001,City of London,30.93598303
2001-07-01,E09000001,City of London,29.43852983
2001-08-01,E09000001,City of London,29.5574855
2001-09-01,E09000001,City of London,29.32440418
2001-10-01,E09000001,City of London,33.67333429
2001-11-01,E09000001,City of London,44.20989099
2001-12-01,E09000001,City of London,46.21917059
2002-01-01,E09000001,City of London,43.92670227
2002-02-01,E09000001,City of London,36.24176653
2002-03-01,E09000001,City of London,32.37306678
2002-04-01,E09000001,City of London,31.30326233
2002-05-01,E09000001,City of London,29.00229524
2002-06-01,E09000001,City of London,32.30067526
2002-07-01,E09000001,City of London,33.48715129
2002-08-01,E09000001,City of London,34.96593087
2002-09-01,E09000001,City of London,35.35271578
2002-10-01,E09000001,City of London,34.7010975
2002-11-01,E09000001,City of London,35.76556785
2002-12-01,E09000001,City of London,33.45777597
2003-01-01,E09000001,City of London,33.38726504
2003-02-01,E09000001,City of London,33.68682671
2003-03-01,E09000001,City of London,37.25680908
2003-04-01,E09000001,City of London,37.66578773
2003-05-01,E09000001,City of London,36.34968321
2003-06-01,E09000001,City of London,34.0971615
2003-07-01,E09000001,City of London,33.20339854
2003-08-01,E09000001,City of London,31.32057502
2003-09-01,E09000001,City of London,31.03151814
2003-10-01,E09000001,City of London,32.28162174
2003-11-01,E09000001,City of London,35.41242073
2003-12-01,E09000001,City of London,38.99061779
2004-01-01,E09000001,City of London,41.71586672
2004-02-01,E09000001,City of London,38.42099325
2004-03-01,E09000001,City of London,34.80186318
2004-04-01,E09000001,City of London,34.39139161
2004-05-01,E09000001,City of London,35.73735423
2004-06-01,E09000001,City of London,37.95252445
2004-07-01,E09000001,City of London,38.06377009
2004-08-01,E09000001,City of London,39.18681452
2004-09-01,E09000001,City of London,38.93569433
2004-10-01,E09000001,City of London,36.99435379
2004-11-01,E09000001,City of London,42.50209791
2004-12-01,E09000001,City of London,42.25793727
2005-01-01,E09000001,City of London,42.15607457
2005-02-01,E09000001,City of London,36.86096106
2005-03-01,E09000001,City of London,38.9006217
2005-04-01,E09000001,City of London,40.50162084
2005-05-01,E09000001,City of London,39.74160523
2005-06-01,E09000001,City of London,36.09525185
2005-07-01,E09000001,City of London,36.19405459
2005-08-01,E09000001,City of London,38.96444597
2005-09-01,E09000001,City of London,39.67330141
2005-10-01,E09000001,City of London,43.23734929
2005-11-01,E09000001,City of London,41.75955343
2005-12-01,E09000001,City of London,43.33810907
2006-01-01,E09000001,City of London,40.33876925
2006-02-01,E09000001,City of London,41.29987165
2006-03-01,E09000001,City of London,41.48529226
2006-04-01,E09000001,City of London,40.78007978
2006-05-01,E09000001,City of London,39.95650866
2006-06-01,E09000001,City of London,38.91666889
2006-07-01,E09000001,City of London,43.16978041
2006-08-01,E09000001,City of London,45.73859824
2006-09-01,E09000001,City of London,48.17679001
2006-10-01,E09000001,City of London,46.59848439
2006-11-01,E09000001,City of London,45.22821094
2006-12-01,E09000001,City of London,46.67230599
2007-01-01,E09000001,City of London,46.05574199
2007-02-01,E09000001,City of London,50.97030515
2007-03-01,E09000001,City of London,51.44333197
2007-04-01,E09000001,City of London,53.46729588
